Year,Q_demand,Q_production,Q_Ukraine,P
1992,549.664948,565.111948,19.507424,278.8127867856662
1993,558.807766,564.739766,21.831008,251.20325102696717
1994,544.1773230000001,525.435323,13.8566,261.53212868489175
1995,552.492532,544.357532,16.2733,300.55328462999483
1996,570.013933,578.616933,13.5471,325.4385869317818
1997,581.1257800000001,614.65178,18.4039,241.06893677141485
1998,584.7968149999999,596.175815,14.9366,181.7376918839016
1999,584.9854369999999,584.763437,13.5853,152.67015087600726
2000,588.163159,584.999159,10.197,151.40756259259905
2001,590.9426629999999,588.243663,21.348,155.48107039305987
2002,626.122285,592.045285,20.556,190.1676971449432
2003,583.186473,549.974473,11.430884,185.59663153273823
2004,614.06801,634.66601,17.5202,184.144684395182
2005,630.162838,627.020838,18.6992,171.85082971878944
2006,634.159122,614.381122,13.9473,217.14671320310427
2007,611.7461410000001,606.595141,13.9377,288.5721297818524
2008,638.736442,680.294442,25.8854,352.17079913689213
2009,649.5321730000001,683.639173,20.8864,231.75284300700446
2010,644.653464,640.803464,16.8513,231.71934763336816
2011,696.476368,696.898368,22.3236,322.48822756083393
2012,693.27491,673.73691,15.7626,311.4949154508168
2013,690.520467,710.169467,22.2793,295.17272108508985
2014,704.411761,728.757761,24.11397,265.5485727323465
2015,719.632269,741.845269,26.5321,202.95671174160486
2016,729.434124,748.435124,26.09883,154.42042769261587
2017,752.766608,772.290608,26.20898,153.40921409400096
2018,735.475584,732.139584,24.65284,191.83970160874563
2019,749.310821,764.980821,28.37028,165.27159475769048
2020,768.872831,760.925831,24.91235,185.513178918372
